NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
300964,2018,20,S,9,43395,NULL,,,,
300965,2018,61,I,11,43347,NULL,,,,
300970,2017,24,,10,42956,NULL,,,,
300970,2018,24,,11,43320,NULL,,,,
300971,2017,24,S,10,43146,NULL,,,,
300971,2018,24,S,11,43320,NULL,,,,
300973,2017,23,,9,42962,NULL,,,,
300975,2017,25,,11,42956,NULL,,,,
300976,2018,38,,7,43320,NULL,,,,
300977,2017,23,,10,42956,NULL,,O,,3.07E+13
300977,2018,68,,11,43320,NULL,,O,,3.07E+13
300978,2018,37,,7,43320,NULL,,,,
300979,2017,20,,9,42956,NULL,,,,
300979,2018,20,,10,43320,NULL,,,,
300982,2017,28,,11,42956,NULL,,,,
300990,2018,25,,9,43320,NULL,,,,
300993,2018,35,,7,43320,NULL,,,,
300999,2017,21,,10,42956,NULL,,,,
300999,2018,21,,11,43320,NULL,,,,
301002,2017,23,,11,42956,NULL,,,,
301004,2017,24,,9,42956,NULL,,,,
301004,2018,24,,10,43320,NULL,,,,
301005,2017,28,S,11,42956,NULL,,,,
301008,2017,23,,10,42956,NULL,,O,,3.07E+13
301008,2017,421,C,10,42956,NULL,,O,,3.07E+13
301008,2018,23,,11,43320,NULL,,O,,3.07E+13
301010,2017,28,,10,42956,NULL,,6,,3.07E+13
301010,2018,28,,11,43320,NULL,,6,,3.07E+13
301016,2017,37,,7,42956,NULL,,,,
301018,2017,61,I,10,43199,NULL,,,,
301018,2018,61,I,11,43320,NULL,,,,
301022,2017,32,,7,42956,NULL,,,,
301028,2017,21,,9,42956,NULL,,,,
301028,2018,21,,10,43320,NULL,,,,
301029,2018,27,,9,43320,NULL,,O,,3.07E+13
301030,2017,37,,7,42956,NULL,,O,,3.07E+13
301032,2018,25,,9,43320,NULL,,,,
301035,2017,21,,9,42956,NULL,,,,
301035,2018,21,,10,43320,NULL,,,,
301036,2017,23,,11,42956,NULL,,,,
301041,2018,38,,7,43320,NULL,,,,
301042,2018,23,,10,43544,NULL,,I,,
301043,2017,28,,9,42956,NULL,,,,
301044,2018,24,,9,43320,NULL,,,,
